team,season,drives,d_3_and_out,d_fg,d_td,d_3_and_out_rate,d_fg_rate,d_td_rate
NYJ,2009,187,54,33,33,0.2887700534759358,0.17647058823529413,0.17647058823529413
MIN,2009,176,52,27,52,0.29545454545454547,0.1534090909090909,0.29545454545454547
BUF,2009,183,55,33,23,0.3005464480874317,0.18032786885245902,0.12568306010928962
KC,2009,196,60,28,26,0.30612244897959184,0.14285714285714285,0.1326530612244898
TB,2009,186,60,25,23,0.3225806451612903,0.13440860215053763,0.12365591397849462
CHI,2009,182,60,27,33,0.32967032967032966,0.14835164835164835,0.1813186813186813
LV,2009,188,62,26,16,0.32978723404255317,0.13829787234042554,0.0851063829787234
CIN,2009,168,57,26,29,0.3392857142857143,0.15476190476190477,0.17261904761904762
SF,2009,190,67,24,35,0.3526315789473684,0.12631578947368421,0.18421052631578946
IND,2008,140,20,23,40,0.14285714285714285,0.16428571428571428,0.2857142857142857
DEN,2008,158,25,31,40,0.15822784810126583,0.1962025316455696,0.25316455696202533
NO,2008,167,29,24,53,0.17365269461077845,0.1437125748502994,0.31736526946107785
HOU,2008,163,30,30,36,0.18404907975460122,0.18404907975460122,0.22085889570552147
NE,2008,163,31,40,41,0.1901840490797546,0.24539877300613497,0.25153374233128833
LAC,2008,167,32,32,47,0.19161676646706588,0.19161676646706588,0.281437125748503
BUF,2008,166,32,38,29,0.1927710843373494,0.2289156626506024,0.1746987951807229
MIN,2008,181,38,33,37,0.20994475138121546,0.18232044198895028,0.20441988950276244
GB,2008,169,37,31,38,0.21893491124260356,0.1834319526627219,0.22485207100591717
ARI,2008,168,38,25,45,0.2261904761904762,0.1488095238095238,0.26785714285714285
JAX,2008,163,38,25,31,0.2331288343558282,0.15337423312883436,0.1901840490797546
NYG,2008,165,39,39,42,0.23636363636363636,0.23636363636363636,0.2545454545454545
NYJ,2008,168,40,27,42,0.23809523809523808,0.16071428571428573,0.25
MIA,2008,164,40,25,38,0.24390243902439024,0.1524390243902439,0.23170731707317074
ATL,2008,161,40,31,39,0.2484472049689441,0.19254658385093168,0.2422360248447205
PIT,2008,174,44,29,33,0.25287356321839083,0.16666666666666666,0.1896551724137931
TB,2008,177,45,35,31,0.2542372881355932,0.1977401129943503,0.1751412429378531
BAL,2008,182,48,35,36,0.26373626373626374,0.19230769230769232,0.1978021978021978
SF,2008,174,47,32,31,0.27011494252873564,0.1839080459770115,0.1781609195402299
CAR,2008,181,50,29,45,0.27624309392265195,0.16022099447513813,0.24861878453038674
LA,2008,185,54,35,19,0.2918918918918919,0.1891891891891892,0.10270270270270271
SEA,2008,173,51,27,28,0.2947976878612717,0.15606936416184972,0.16184971098265896
KC,2008,169,50,20,31,0.2958579881656805,0.11834319526627218,0.1834319526627219
WAS,2008,167,50,33,26,0.2994011976047904,0.19760479041916168,0.15568862275449102
CHI,2008,194,60,27,35,0.30927835051546393,0.13917525773195877,0.18041237113402062
TEN,2008,181,56,33,37,0.30939226519337015,0.18232044198895028,0.20441988950276244
DET,2008,182,57,21,27,0.3131868131868132,0.11538461538461539,0.14835164835164835
CLE,2008,168,53,36,17,0.31547619047619047,0.21428571428571427,0.10119047619047619
LV,2008,184,59,29,21,0.32065217391304346,0.15760869565217392,0.11413043478260869
DAL,2008,180,58,21,41,0.32222222222222224,0.11666666666666667,0.22777777777777777
PHI,2008,189,61,38,38,0.32275132275132273,0.20105820105820105,0.20105820105820105
CIN,2008,176,65,22,17,0.3693181818181818,0.125,0.09659090909090909
IND,2007,156,28,28,51,0.1794871794871795,0.1794871794871795,0.3269230769230769
HOU,2007,162,30,25,36,0.18518518518518517,0.15432098765432098,0.2222222222222222
NE,2007,155,30,24,67,0.1935483870967742,0.15483870967741936,0.432258064516129
JAX,2007,156,31,23,46,0.1987179487179487,0.14743589743589744,0.2948717948717949
CIN,2007,162,34,33,34,0.20987654320987653,0.2037037037037037,0.20987654320987653
SEA,2007,191,41,32,39,0.21465968586387435,0.16753926701570682,0.20418848167539266
CLE,2007,176,38,27,42,0.2159090909090909,0.1534090909090909,0.23863636363636365
DEN,2007,168,37,30,31,0.22023809523809523,0.17857142857142858,0.18452380952380953
PHI,2007,174,39,31,35,0.22413793103448276,0.1781609195402299,0.20114942528735633
ARI,2007,189,43,29,39,0.2275132275132275,0.15343915343915343,0.20634920634920634
NYG,2007,179,41,26,38,0.22905027932960895,0.1452513966480447,0.2122905027932961
NYJ,2007,162,38,33,20,0.2345679012345679,0.2037037037037037,0.12345679012345678
LV,2007,190,45,32,28,0.23684210526315788,0.16842105263157894,0.14736842105263157
TEN,2007,180,43,38,26,0.2388888888888889,0.2111111111111111,0.14444444444444443
DET,2007,181,44,34,32,0.2430939226519337,0.1878453038674033,0.17679558011049723
MIN,2007,176,43,22,31,0.24431818181818182,0.125,0.17613636363636365
PIT,2007,162,40,24,42,0.24691358024691357,0.14814814814814814,0.25925925925925924
GB,2007,174,44,36,43,0.25287356321839083,0.20689655172413793,0.2471264367816092
WAS,2007,184,47,34,32,0.2554347826086957,0.18478260869565216,0.17391304347826086
NO,2007,171,44,22,41,0.2573099415204678,0.1286549707602339,0.23976608187134502
LA,2007,182,47,30,23,0.25824175824175827,0.16483516483516483,0.12637362637362637
MIA,2007,168,44,22,25,0.2619047619047619,0.13095238095238096,0.1488095238095238
DAL,2007,174,46,30,50,0.26436781609195403,0.1724137931034483,0.28735632183908044
BAL,2007,177,47,29,22,0.2655367231638418,0.1638418079096045,0.12429378531073447
LAC,2007,186,51,27,41,0.27419354838709675,0.14516129032258066,0.22043010752688172
ATL,2007,187,52,34,25,0.27807486631016043,0.18181818181818182,0.13368983957219252
BUF,2007,169,47,25,20,0.2781065088757396,0.14792899408284024,0.11834319526627218
TB,2007,169,48,28,33,0.28402366863905326,0.16568047337278108,0.1952662721893491
CHI,2007,193,60,32,25,0.31088082901554404,0.16580310880829016,0.12953367875647667
CAR,2007,183,57,28,26,0.3114754098360656,0.15300546448087432,0.14207650273224043
KC,2007,187,66,27,22,0.35294117647058826,0.1443850267379679,0.11764705882352941
SF,2007,192,69,19,22,0.359375,0.09895833333333333,0.11458333333333333
DAL,2006,170,26,28,47,0.15294117647058825,0.16470588235294117,0.27647058823529413
IND,2006,143,23,26,47,0.16083916083916083,0.18181818181818182,0.32867132867132864
NE,2006,172,38,26,45,0.22093023255813954,0.1511627906976744,0.2616279069767442
LAC,2006,184,41,28,56,0.22282608695652173,0.15217391304347827,0.30434782608695654
DET,2006,179,41,33,30,0.22905027932960895,0.18435754189944134,0.16759776536312848
MIA,2006,178,41,35,23,0.2303370786516854,0.19662921348314608,0.12921348314606743
PIT,2006,173,40,26,39,0.23121387283236994,0.15028901734104047,0.2254335260115607
DEN,2006,180,42,28,32,0.23333333333333334,0.15555555555555556,0.17777777777777778
JAX,2006,177,43,32,40,0.24293785310734464,0.1807909604519774,0.22598870056497175
ARI,2006,168,41,36,28,0.24404761904761904,0.21428571428571427,0.16666666666666666
ATL,2006,179,45,32,30,0.25139664804469275,0.1787709497206704,0.16759776536312848
BAL,2006,171,43,28,30,0.25146198830409355,0.16374269005847952,0.17543859649122806
LA,2006,170,43,33,37,0.2529411764705882,0.19411764705882353,0.21764705882352942
KC,2006,174,45,31,35,0.25862068965517243,0.1781609195402299,0.20114942528735633
PHI,2006,175,46,23,43,0.26285714285714284,0.13142857142857142,0.24571428571428572
CIN,2006,178,47,29,41,0.2640449438202247,0.16292134831460675,0.2303370786516854
CHI,2006,189,50,36,37,0.26455026455026454,0.19047619047619047,0.19576719576719576
SEA,2006,190,51,28,34,0.26842105263157895,0.14736842105263157,0.17894736842105263
NYJ,2006,165,45,25,32,0.2727272727272727,0.15151515151515152,0.19393939393939394
GB,2006,189,52,34,27,0.2751322751322751,0.17989417989417988,0.14285714285714285
NO,2006,177,50,24,47,0.2824858757062147,0.13559322033898305,0.2655367231638418
HOU,2006,162,46,25,27,0.2839506172839506,0.15432098765432098,0.16666666666666666
LV,2006,176,50,25,12,0.2840909090909091,0.14204545454545456,0.06818181818181818
NYG,2006,181,52,26,38,0.287292817679558,0.143646408839779,0.20994475138121546
TEN,2006,180,52,26,28,0.28888888888888886,0.14444444444444443,0.15555555555555556
CLE,2006,181,53,26,22,0.292817679558011,0.143646408839779,0.12154696132596685
WAS,2006,172,51,30,32,0.29651162790697677,0.1744186046511628,0.18604651162790697
MIN,2006,188,58,23,25,0.30851063829787234,0.12234042553191489,0.13297872340425532
CAR,2006,189,59,27,26,0.31216931216931215,0.14285714285714285,0.13756613756613756
SF,2006,178,58,34,27,0.3258426966292135,0.19101123595505617,0.15168539325842698
TB,2006,182,60,22,19,0.32967032967032966,0.12087912087912088,0.1043956043956044
BUF,2006,181,63,25,26,0.34806629834254144,0.13812154696132597,0.143646408839779
IND,2005,148,25,26,49,0.16891891891891891,0.17567567567567569,0.3310810810810811
KC,2005,173,31,31,43,0.1791907514450867,0.1791907514450867,0.24855491329479767
PIT,2005,169,36,29,41,0.21301775147928995,0.17159763313609466,0.24260355029585798
CIN,2005,171,38,32,47,0.2222222222222222,0.1871345029239766,0.27485380116959063
LA,2005,191,43,31,36,0.225130890052356,0.16230366492146597,0.18848167539267016
DEN,2005,176,40,31,43,0.22727272727272727,0.17613636363636365,0.24431818181818182
GB,2005,183,42,27,31,0.22950819672131148,0.14754098360655737,0.16939890710382513
NO,2005,171,40,30,23,0.23391812865497075,0.17543859649122806,0.13450292397660818
NYG,2005,191,46,42,41,0.24083769633507854,0.2198952879581152,0.21465968586387435
DAL,2005,185,45,27,36,0.24324324324324326,0.14594594594594595,0.1945945945945946
ARI,2005,187,46,44,23,0.24598930481283424,0.23529411764705882,0.12299465240641712
